dates,scores,titles,url
12/31/2014,0.3049826086956522,Mark Zuckerberg Is Crowdsourcing His New Year’s Resolutions On Facebook,https://techcrunch.com/2014/12/31/mark-zuckerberg-is-crowdsourcing-his-new-years-resolutions-on-facebook/
12/25/2014,0.0944857142857143,"Facebook’s ‘Year In Review’ Feature Will Chronicle Your 2014, Good Or Bad",https://techcrunch.com/2014/12/25/facebooks-year-in-review-feature-will-chronicle-your-2014-good-or-bad/
12/24/2014,0.09651764705882351,Facebook Signs Up The NFL And Verizon To Test Ads That Play After Video Clips,https://techcrunch.com/2014/12/24/facebook-post-roll/
12/24/2014,0.02878928571428572,Facebook Challenges YouTube Channels With New Features For Pages,https://techcrunch.com/2014/12/24/facebook-videos/
12/19/2014,0.26451739130434787,Facebook Launches Separate “Stickered” For Messenger App That Lets You Paste Images On Your Photos,https://techcrunch.com/2014/12/19/facebook-stickers-for-messenger/
12/17/2014,0.2921578947368421,Facebook’s Interest-Based Social App Rooms Is Now Easier To Use,https://techcrunch.com/2014/12/17/facebooks-interest-based-social-app-rooms-is-now-easier-to-use/
12/15/2014,-0.09765263157894735,Mark Zuckerberg’s Facebook Profile Under Attack From Brazilian Trolls,https://techcrunch.com/2014/12/15/mark-zuckerbergs-facebook-profile-under-attack-from-brazilian-trolls/
12/13/2014,0.17036999999999994,"Facebook Dumps Bing, Will Introduce Its Own Search Tool",https://techcrunch.com/2014/12/13/facebook-dumps-bing-will-introduce-its-own-search-tool/
12/10/2014,0.49877222222222223,"Amazon Launches Surprise!, A Facebook-Powered App For Sending Personalized E-Cards",https://techcrunch.com/2014/12/10/amazon-launches-surprise-a-facebook-powered-app-for-sending-personalized-e-cards/
12/10/2014,0.1986842105263158,"Facebook Trending Topics Go Mobile, Highlight Real-Time Chatter And First-Hand Perspectives",https://techcrunch.com/2014/12/10/live-feed-facebook/
12/09/2014,0.059825714285714274,A Facebook Hack To A Greater Democracy,https://techcrunch.com/2014/12/09/a-facebook-hack-to-a-greater-democracy/
12/08/2014,0.3359791044776119,Facebook Brings Graph Search To Mobile And Lets You Find Feed Posts By Keyword,https://techcrunch.com/2014/12/08/facebook-keyword-search/
12/05/2014,0.05164693877551019,"Facebook 202X: How It Becomes The Multitool For The Modern Totalitarian, Part 1",https://techcrunch.com/2014/12/05/facebook-202x-how-it-becomes-the-multitool-for-the-modern-totalitarian-part-1/
