dates,scores,titles,url
11/23/2018,-0.10895217391304347,Facebook policy VP Richard Allan to face the international ‘fake news’ grilling that Zuckerberg won’t,https://techcrunch.com/2018/11/23/facebook-policy-vp-richard-allan-to-face-the-international-fake-news-grilling-that-zuckerberg-wont/
11/21/2018,-0.03646111111111112,Facebook is still facing ‘intermittent’ outages for advertisers ahead of Black Friday and Cyber Monday,https://techcrunch.com/2018/11/21/facebook-is-still-facing-intermittent-outages-for-advertisers-ahead-of-black-friday-and-cyber-monday/
11/21/2018,0.053345,Facebook has poached the DoJ’s Silicon Valley antitrust chief,https://techcrunch.com/2018/11/21/facebook-has-poached-the-dojs-silicon-valley-antitrust-chief/
11/21/2018,-0.026096153846153842,Facebook appeals UK data watchdog’s £500K Cambridge Analytica fine,https://techcrunch.com/2018/11/21/facebook-appeals-uk-data-watchdogs-500k-cambridge-analytica-fine/
11/21/2018,-0.13198571428571426,Facebook failed to stop a child bride being auctioned on its platform,https://techcrunch.com/2018/11/21/facebook-failed-to-stop-a-child-bride-being-auctioned-on-its-platform/
11/20/2018,-0.13856153846153843,Zuckerberg won’t step down as Facebook chairman,https://techcrunch.com/2018/11/20/zuckerberg-on-cnn-sandberg-facebook-chairman/
11/20/2018,0.09029230769230769,Facebook is finally rolling out its ‘how long do I spend on Facebook’ dashboard,https://techcrunch.com/2018/11/20/see-time-spent-on-facebook/
11/19/2018,-0.0013635416666666587,Read the mud-slinging pitches Facebook’s PR firm sent us ,https://techcrunch.com/2018/11/19/read-the-mud-slinging-pitches-facebooks-pr-firm-sent-us/
11/19/2018,-0.021078571428571426,Now eight parliaments are demanding Zuckerberg answers for Facebook scandals,https://techcrunch.com/2018/11/19/now-eight-parliaments-are-demanding-zuckerberg-answers-for-facebook-scandals/
11/16/2018,0.2937047619047619,Facebook Messenger is building a ‘Watch Videos Together’ feature,https://techcrunch.com/2018/11/16/facebook-messenger-watch-videos-tegoether/
11/16/2018,0.012642553191489377,"Facebook has other ties to Definers, the GOP-led opposition research group",https://techcrunch.com/2018/11/16/facebook-definers-comms-sandberg-kaplan/
11/15/2018,-0.034813888888888894,Sheryl Sandberg claims she didn’t know Facebook hired agency behind ‘abhorrent’ anti-Soros campaign,https://techcrunch.com/2018/11/15/sheryl-sandberg-claims-she-didnt-know-facebook-hired-agency-behind-abhorrent-anti-soros-campaign/
11/15/2018,0.131468085106383,Facebook will change algorithm to demote “borderline content” that almost violates policies,https://techcrunch.com/2018/11/15/facebook-borderline-content/
11/15/2018,-0.09207857142857145,Zuckerberg denies knowledge of Facebook’s work with GOP opposition research firm,https://techcrunch.com/2018/11/15/facebook-zuckerberg-definers-public-affairs/
11/15/2018,0.11676363636363637,Facebook will pass off content policy appeals to a new independent oversight body,https://techcrunch.com/2018/11/15/facebook-oversight-body/
11/15/2018,0.072105,"Facebook reports a massive spike in government demands for data, including secret orders",https://techcrunch.com/2018/11/15/facebook-releases-national-security-letters-for-customer-data/
11/15/2018,-0.080578125,Facebook’s weapon amid chaos and controversy: misdirection,https://techcrunch.com/2018/11/15/chaos-controversy-facebook-fights-misinformation-with-misdirection/
11/15/2018,-0.27137812499999997,Facebook under pressure over Soros smear tactics,https://techcrunch.com/2018/11/15/facebook-under-pressure-over-soros-smear-tactics/
11/14/2018,-0.013519117647058817,Facebook Messenger starts rolling out Unsend; here’s how it works,https://techcrunch.com/2018/11/14/how-facebook-messenger-remove-works/
11/13/2018,0.0765,Facebook Lasso app lead Brady Voss leaves for Netflix right after launch,https://techcrunch.com/2018/11/13/facebook-lasso/
11/13/2018,0.3235100000000001,"Facebook takes on LinkedIn as a career portal with e-learning, expanded mentorship and jobs features",https://techcrunch.com/2018/11/13/facebook-learning-mentorships-jobs/
11/13/2018,0.07396111111111109,Facebook bug let websites read ‘likes’ and interests from a user’s profile,https://techcrunch.com/2018/11/13/facebook-bug-website-leak-likes-interests-profile/
11/12/2018,-0.17981111111111112,"Airbnb ends forced arbitration days after Google, Facebook did the same",https://techcrunch.com/2018/11/12/airbnb-ends-forced-arbitration-days-after-google-facebook-did-the-same/
11/12/2018,0.01822608695652174,Facebook to let French regulators investigate on moderation processes,https://techcrunch.com/2018/11/12/facebook-to-let-french-regulators-investigate-on-moderation-processes/
11/11/2018,0.29562962962962963,Facebook Portal needs more. At least it just added YouTube,https://techcrunch.com/2018/11/11/facebook-portal-youtube/
11/11/2018,0.2871,"Facebook simulates itself up a better, more gradual product launch",https://techcrunch.com/2018/11/11/facebook-simulates-itself-up-a-better-more-gradual-product-launch/
11/09/2018,0.21249999999999997,"Facebook launches Lasso, its music and video TikTok clone",https://techcrunch.com/2018/11/09/lasso-facebook-app-store/
11/08/2018,0.11013809523809523,"Facebook removed 14 million pieces of terrorist content this year, and the numbers are rising",https://techcrunch.com/2018/11/08/facebook-removed-14-million-pieces-of-terrorist-content-this-year-and-the-numbers-are-rising/
11/08/2018,0.19322769230769235,"Facebook Portal isn’t listening to your calls, but may track data",https://techcrunch.com/2018/11/08/facebook-portal-isnt-listening-to-your-calls-but-may-track-data/
11/08/2018,0.18777187500000003,Facebook Dating arrives in Canada and Thailand,https://techcrunch.com/2018/11/08/facebook-dating-arrives-in-canada-and-thailand/
11/08/2018,0.09624358974358974,So I sent my mom that newfangled Facebook Portal,https://techcrunch.com/2018/11/08/facebook-portal-privacy/
11/08/2018,0.0903,Facebook Portal+ review,https://techcrunch.com/2018/11/08/facebook-portal-review/
11/07/2018,0.20537999999999998,"Facebook starts shipping Portal, clarifies privacy/ad policy",https://techcrunch.com/2018/11/07/facebook-starts-shipping-portal-clarifies-privacy-ad-policy/
11/07/2018,-0.02965384615384614,Facebook is facing an EU data probe over fake ads,https://techcrunch.com/2018/11/07/facebook-is-facing-an-eu-data-probe-over-fake-ads/
11/07/2018,0.03321818181818182,Where’s the accountability Facebook?,https://techcrunch.com/2018/11/07/wheres-the-accountability-facebook/
11/06/2018,0.0030578947368421045,Facebook connects Russia to 100+ accounts it removed ahead of mid-terms,https://techcrunch.com/2018/11/06/facebook-ira/
11/06/2018,0.26734285714285716,Facebook’s GraphQL gets its own open-source foundation,https://techcrunch.com/2018/11/06/facebooks-graphql-gets-its-own-open-source-foundation/
11/06/2018,0.13339855072463772,"Facebook must change and policymakers must act on data, warns UK watchdog",https://techcrunch.com/2018/11/06/facebook-must-change-and-policymakers-must-act-on-data-warns-uk-watchdog/
11/06/2018,-0.033243750000000016,Facebook still isn’t taking Myanmar seriously,https://techcrunch.com/2018/11/06/facebook-still-isnt-taking-myanmar-seriously/
11/06/2018,0.06459047619047617,Study of political junk on Facebook raises fresh questions about its metrics,https://techcrunch.com/2018/11/06/study-of-political-junk-on-facebook-raises-fresh-questions-about-its-metrics/
11/05/2018,-0.041042857142857145,"Hours before US Election Day, Facebook pulls dozens of accounts for ‘coordinated inauthentic behavior’",https://techcrunch.com/2018/11/05/day-before-election-day-facebook-pulls-inauthentic-accounts/
11/05/2018,0.45203125,Facebook opens its first small biz pop-up stores inside Macy’s,https://techcrunch.com/2018/11/05/facebook-pop-up-store/
11/05/2018,-0.015028421052631582,"Facebook’s election interference problem exponentially worse on eve of midterms, study suggests",https://techcrunch.com/2018/11/05/facebooks-election-interference-problem-exponentially-worse-on-eve-of-midterms-study-suggests/
11/04/2018,0.07825,James Patterson released a work of interactive fiction on Facebook Messenger,https://techcrunch.com/2018/11/04/james-patterson-released-a-work-of-interactive-fiction-on-facebook-messenger/
11/02/2018,0.16949642857142858,"TikTok surpassed Facebook, Instagram, Snapchat & YouTube in downloads last month",https://techcrunch.com/2018/11/02/tiktok-surpassed-facebook-instagram-snapchat-youtube-in-downloads-last-month/
11/01/2018,0.0628652173913043,Tool up for the midterms with this Facebook junk news aggregator,https://techcrunch.com/2018/11/01/tool-up-for-the-midterms-with-this-facebook-junk-news-aggregator/
10/30/2018,-0.009414285714285733,"Facebook bans the Proud Boys, cutting the group off from its main recruitment platform",https://techcrunch.com/2018/10/30/facebook-proud-boys-mcinnes-kicked-off/
10/30/2018,0.12060588235294117,Facebook shares climb despite Q3 user growth and revenue,https://techcrunch.com/2018/10/30/facebook-earnings-q3-2018/
10/26/2018,0.20053125000000002,Facebook takes down more ‘coordinated inauthentic behavior’ linked to Iran,https://techcrunch.com/2018/10/26/facebook-finds-more-disinformation-linked-to-iran/
10/25/2018,0.17868260869565222,Europe’s parliament calls for full audit of Facebook in wake of breach scandal,https://techcrunch.com/2018/10/25/europes-parliament-calls-for-full-audit-of-facebook-in-wake-of-breach-scandal/
10/25/2018,0.13092857142857145,UK watchdog hands Facebook maximum £500K fine over Cambridge Analytica data breach,https://techcrunch.com/2018/10/25/uk-watchdog-hands-facebook-500k-fine/
10/24/2018,-0.11203076923076925,Facebook says it removed 8.7M child exploitation posts with new machine learning tech,https://techcrunch.com/2018/10/24/facebook-says-it-removed-8-7m-child-exploitation-posts-with-new-machine-learning-tech/
10/24/2018,0.20657142857142854,"Facebook is building Lasso, a video music app to steal TikTok’s teens",https://techcrunch.com/2018/10/24/facebook-musically-competitor/
10/24/2018,0.14286666666666667,Facebook launches Candidate Info where politicians pitch on camera,https://techcrunch.com/2018/10/24/facebook-candidate-info/
10/24/2018,0.17758918918918923,Facebook confirms it’s building augmented reality glasses,https://techcrunch.com/2018/10/24/facebook-ar-headset/
10/24/2018,0.3085666666666667,Myspace reborn! Facebook will let you pin song clips to your profile,https://techcrunch.com/2018/10/24/facebook-music-profile/
10/24/2018,0.1241,Facebook’s Ad Archive Report highlights top political spenders,https://techcrunch.com/2018/10/24/facebooks-ad-archive-report-highlights-top-political-spenders/
10/23/2018,0.21436976744186048,Messenger redesigns to clean up Facebook’s mess,https://techcrunch.com/2018/10/23/facebook-messenger-simple-redesign/
10/22/2018,0.261635294117647,Oculus co-founder is leaving Facebook after cancellation of ‘Rift 2’ headset,https://techcrunch.com/2018/10/22/oculus-co-founder-is-leaving-facebook-after-cancellation-of-rift-2-headset/
10/19/2018,-0.09750857142857143,"New ‘Dark Ads’ pro-Brexit Facebook campaign may have reached over 10M people, say researchers",https://techcrunch.com/2018/10/19/new-dark-ads-pro-brexit-facebook-campaign-may-have-reached-over-10m-people-say-researchers/
10/19/2018,0.19977380952380955,"Facebook hires former UK Lib Dem leader, Nick Clegg, as global policy chief",https://techcrunch.com/2018/10/19/facebook-hires-former-uk-lib-dem-leader-nick-clegg-as-global-policy-chief/
10/18/2018,0.1335142857142857,A ton of people don’t know that Facebook owns WhatsApp,https://techcrunch.com/2018/10/18/duckduckgo-facebook-whatsapp-google-waze/
10/18/2018,-0.11464210526315789,Take a video tour of Facebook’s election security war room,https://techcrunch.com/2018/10/18/facebook-election-war-room/
10/17/2018,0.10493076923076922,Some notable Facebook shareholders file (mostly symbolic) proposal to oust Mark Zuckerberg as chairman,https://techcrunch.com/2018/10/17/some-notable-facebook-shareholders-file-mostly-symbolic-proposal-to-oust-mark-zuckerberg-as-chairman/
10/17/2018,0.24420000000000006,"Sidestepping App Stores, Facebook Lite and Groups get Instant Games",https://techcrunch.com/2018/10/17/facebook-instant-games-lite-groups/
10/17/2018,0.2515090909090909,MTV’s Real World will be revived with interactivity on Facebook Watch,https://techcrunch.com/2018/10/17/facebook-watch-real-world/
10/16/2018,-0.031923529411764684,Facebook News Feed now downranks sites with stolen content,https://techcrunch.com/2018/10/16/facebook-demotes-scrapers/
10/16/2018,0.0567175,Facebook rolls out checks for UK political ads,https://techcrunch.com/2018/10/16/facebook-rolls-out-checks-for-uk-political-ads/
10/16/2018,0.18367058823529414,Facebook is building a camera TV set-top box,https://techcrunch.com/2018/10/16/facebook-ripley-set-top-box/
10/15/2018,-0.18487692307692308,"Ahead of midterm elections, Facebook expands ban on posts aimed at voter suppression",https://techcrunch.com/2018/10/15/ahead-of-midterm-elections-facebook-expands-ban-on-posts-aimed-at-voter-suppression/
10/15/2018,-0.03255333333333334,A former Google+ UI designer suggests inept management played a role in the network’s demise (beyond Facebook’s impact),https://techcrunch.com/2018/10/15/a-former-google-ui-designer-suggests-inept-management-played-a-role-in-the-networks-demise-beyond-facebooks-impact/
10/15/2018,-0.31447916666666664,Worries linger as Facebook withholds stolen searches & checkins,https://techcrunch.com/2018/10/15/facebook-breach-searches-locations/
10/13/2018,0.0,A fictional Facebook Portal videochat with Mark Zuckerberg,https://techcrunch.com/2018/10/13/a-fictional-facebook-portal-videochat-with-mark-zuckerberg/
10/12/2018,0.060566666666666664,Facebook prototypes Unsend 6 months after Zuckerberg retracted messages,https://techcrunch.com/2018/10/12/facebook-messenger-unsend/
10/12/2018,-0.054308333333333327,Facebook bans hundreds of clickbait farms for ‘coordinated inauthentic behavior’,https://techcrunch.com/2018/10/12/facebook-bans-hundreds-of-clickbait-farms-for-coordinated-inauthentic-behavior/
10/12/2018,-0.2679333333333333,Here’s how to find out if your Facebook was hacked in the breach,https://techcrunch.com/2018/10/12/was-my-facebook-hacked/
10/12/2018,-0.18457142857142858,"Facebook breach saw 15M users’ names & contact info stolen, 14M’s bios too",https://techcrunch.com/2018/10/12/facebook-breach/
10/12/2018,0.2609000000000001,Facebook’s gaming hub Fb.gg launches into beta on Android,https://techcrunch.com/2018/10/12/facebooks-gaming-hub-fb-gg-arrives-in-beta-on-android/
10/11/2018,0.1761555555555556,Facebook mistakenly deleted some people’s Live videos,https://techcrunch.com/2018/10/11/facebook-deleted-live-videos/
10/11/2018,0.28803529411764706,Facebook rolls out 3D photos that use AI to simulate depth,https://techcrunch.com/2018/10/11/facebook-3d-photos/
10/11/2018,0.23891176470588238,Facebook Groups can now launch up to 250-person chat rooms,https://techcrunch.com/2018/10/11/facebook-groups-chat/
10/11/2018,0.0959425531914894,"Audit Facebook and overhaul competition law, say MEPs responding to breach scandals",https://techcrunch.com/2018/10/11/audit-facebook-and-overhaul-competition-law-say-meps-responding-to-breach-scandals/
10/09/2018,0.26617826086956514,"Facebook Workplace adds algorithmic feed, Safety Check and enhanced chat",https://techcrunch.com/2018/10/09/facebook-workplace-conference/
10/09/2018,0.20546071428571427,Workplace by Facebook launches Safety Check for business users,https://techcrunch.com/2018/10/09/workplace-by-facebook-launches-safety-check-for-business-users/
10/08/2018,0.1917633333333333,"Facebook, are you kidding?",https://techcrunch.com/2018/10/08/facebook-portal-are-you-serious-rn/
10/08/2018,0.0669,Facebook tries its hand at hardware with Portal,https://techcrunch.com/2018/10/08/facebooks-first-hardware-product/
10/08/2018,0.24289259259259263,Facebook launches Portal auto-zooming video chat screens for $199/$349,https://techcrunch.com/2018/10/08/facebook-portal/
10/07/2018,0.25454838709677424,Facebook poaches leaders of Refdash interview prep to work on Jobs,https://techcrunch.com/2018/10/07/facebook-refdash/
10/05/2018,0.14845714285714284,"Facebook Messenger internally tests voice commands for chat, calls",https://techcrunch.com/2018/10/05/facebook-messenger-voice-control/
10/03/2018,0.348719512195122,Facebook tests Snap Map-style redesign of Nearby Friends,https://techcrunch.com/2018/10/03/facebook-nearby-map/
10/03/2018,0.11969166666666668,"Facebook adds A.I. to Marketplace for categorization, price suggestions and soon, visual search",https://techcrunch.com/2018/10/03/facebook-adds-a-i-to-marketplace-for-categorization-price-suggestions-and-soon-visual-search/
10/02/2018,-0.11858181818181818,Facebook finds ‘no evidence’ hackers accessed connected apps,https://techcrunch.com/2018/10/02/facebook-finds-no-evidence-hackers-accessed-connected-apps/
10/02/2018,-0.2921872340425531,Facebook rolls out new anti-bullying tools and an appeals process,https://techcrunch.com/2018/10/02/facebook-rolls-out-new-anti-bullying-tools-and-an-appeals-process/
10/02/2018,0.283953125,"Facebook follows Twitch and YouTube with launch of Premieres, live polls and fan badges",https://techcrunch.com/2018/10/02/facebook-follows-twitch-and-youtube-with-launch-of-premieres-live-polls-and-fan-badges/
